подсистемы_и_требования;2Б;2А
1. Подсистема управления доступом;;
1.1. Идентификация, проверка подлинности и контроль доступа субъектов:;;
в систему;True;True
к терминалам, ЭВМ, узлам сети ЭВМ, каналам связи, внешним устройствам ЭВМ;False;True
к программам;False;True
к томам, каталогам, файлам, записям, полям записей;False;True
1.2. Управление потоками информации;False;True
2. Подсистема регистрации и учета;;
2.1. Регистрация и учет:;;
входа (выхода) субъектов доступа в (из) систему (узел сети);True;True
выдачи печатных (графических) выходных документов;False;True
запуска (завершения) программ и процессов (заданий, задач);False;True
доступа программ субъектов доступа к защищаемым файлам, включая их создание и удаление, передачу по линиям и каналам связи;False;True
доступа программ субъектов доступа к терминалам, ЭВМ, узлам сети ЭВМ, каналам связи, внешним устройствам ЭВМ, программам, томам, каталогам, файлам, записям, полям записей;False;True
изменения полномочий субъектов доступа;False;False
создаваемых защищаемых объектов доступа;False;True
2.2. Учет носителей информации;True;True
2.3. Очистка (обнуление, обезличивание) освобождаемых областей оперативной памяти ЭВМ и внешних накопителей;False;True
2.4. Сигнализация попыток нарушения защиты;False;False
3. Криптографическая подсистема;;
3.1. Шифрование конфиденциальной информации;False;True
3.2. Шифрование информации, принадлежащей различным субъектам доступа (группам субъектов) на разных ключах;False;False
3.3. Использование аттестованных (сертифицированных) криптографических средств;False;True
4. Подсистема обеспечения целостности;;
4.1. Обеспечение целостности программных средств и обрабатываемой информации;True;True
4.2. Физическая охрана средств вычислительной техники и носителей информации;True;True
4.3. Наличие администратора (службы) защиты информации в АС;False;True
4.4. Периодическое тестирование СЗИ НСД;True;True
4.5. Наличие средств восстановления СЗИ НСД;True;True
4.6. Использование сертифицированных средств защиты;False;True
